"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :13th October 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,,Bulathsighala,Flood,2024.10.12,6,26,,,,,,,,,,,
,දිස්ත්‍ ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,999,3616,1,0,0,0,15,0,0,0,0,0,
,2,"ගම්පහ
fk;g`h Gampaha",Nigambo,Flood,2024.10.07,45,189,,,,,,,,,,,
,,,Dompe,,2024.10.11,498,1670,,,,,5,,,7,344,1102,
,,,Attanagalla,,,992,4005,,,,,7,,,,,,
,,,Minuwangoda,,,217,822,,,,,1,,,,,,
,,,Merigama,High Wind,2024.10.10,,,,,,,3,,,,,,
,,,Biyagama,High Wind,2024.10.08,2656,11084,,,,,10,,,4,44,182,
,,,Divulapitiya,Flood,2024.10.11,129,543,,,,,3,,,,,,
,,,Wattala,Flood,,6162,25692,,,,,,,,2,18,65,
,,,Mahara,Flood,,160,617,,,,,3,,,,,,
,,,Kelaniya,,,2595,11653,,,,,,,,2,6,17,
,,,Katana,,,770,3002,,,,,,,,,,,
,,,Ja-Ela,,,614,2566,,,,,2,,,1,4,10,
,,,Gampaha,,,1869,6829,,,,,4,,,,,,
,දිස්ත්‍ ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16707,68672,0,0,0,0,38,0,0,16,416,1376,
,3,"නකාළඹ
nfhOk;G Colombo",Kesbewa,Flash Flood,2024.10.11,10,49,,,,,1,,,,,,
,,,Seetawaka,Flood,,665,2435,,,,,3,,,19,560,2100,
,,,Kolonnawa,Flood,,6822,25698,,,,1,1,,,7,171,721,
,,,Tibirigasyaya,Flood,,460,1624,,,,,1,,,1,13,53,
,,,Homagama,Flood,,428,1679,,,,,9,3,,3,8,24,
,,,Kaduwela,Drowing,2024.10.10,1472,5056,1,,,,1,,,17,291,1152,
,,,Jayawardhanapura,Flood,2024.10.11,152,517,,,,,,,,,,,
,,,Padukka,Flood,2024.10.11,71,235,,,,,1,,,1,1,10,
,,,Colombo,,,834,2938,,,,,,,,,,,
,දිස්ත්‍ ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,10914,40231,1,0,0,1,17,3,0,48,1044,4060,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,28620,112519,2,0,0,1,70,3,0,64,1460,5436,
"උතුරු පලාත
tl khfhzk;
Northen",4,"කිලින ාච්චිය
fpspnehr;rp
Killinochchi",Poonakary,Lightning,2024.10.10,1,5,,,,,1,,,,,,
,දිස්ත්‍ ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,5,"මන් ාරම kd;dhH
Mannar",Mannar Town,Fire,2024.10.12,,85,,,,,1,,,,,,
,දිස්ත්‍ ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,85,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,90,0,0,0,0,2,0,0,0,0,0,
