River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.45,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.58,4.83,Normal,,141.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.37,13.61,Normal,,113.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.15,Normal,,83,.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.26,2.26,Normal,,64,.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.85,2.40,Normal,,71,.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.84,Normal,,13.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.94,2.00,Normal,,40.4,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.61,6.78,Normal,,38.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.25,3.38,Normal,,8.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.60,2.68,Normal,,13.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.65,5.73,Alert,Rising,68,.1,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.41,2.46,Normal,,10.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.28,2.30,Normal,,0.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.70,0.70,Normal,,4.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.77,3.74,Normal,,4.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.25,1.23,Normal,,3.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.61,0.56,Normal,,44.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.69,0.68,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.09,0.09,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.68,Normal,,6.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.35,-0.35,Normal,,20.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.98,0.96,Normal,,35.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.28,0.27,Normal,,8.8,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.02,0.02,Normal,,8.5,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.01,-1.01,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.13,0.13,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.61,-2.63,Normal,,0.0,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.70,Normal,,5.3,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.88,1.83,Normal,,35.3,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.57,0.57,Normal,,0.0,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.90,0.90,Normal,,7.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.58,1.58,Normal,,4.5,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.34,0.34,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.66,0.66,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.02,-0.02,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.25,1.20,Normal,,1.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.30,2.31,Normal,,11.1,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.39,1.46,Normal,,46.4,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.35,3.53,Alert,Rising,71,.8,
