River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,0.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.13,1.10,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.37,9.37,Normal,,1.4,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.77,1.68,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.20,0.19,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.69,0.69,Normal,,17.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.49,0.48,Normal,,1.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.94,0.85,Normal,,1.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.07,5.01,Normal,,4,2.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.90,0.89,Normal,,10.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.98,1.90,Normal,,6.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.69,2.62,Normal,,11.1,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.14,2.17,Normal,,97.9,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.55,1.50,Normal,,53,,.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.35,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.19,2.20,Normal,,1.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.42,0.43,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.02,-0.01,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.59,0.59,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.41,0.42,Normal,,4.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.66,0.66,Normal,,4,3.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.90,0.90,Normal,,8.4,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,5.8,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.52,0.53,Normal,,6.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.13,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.35,-0.35,Normal,,0.6,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.52,-3.49,Normal,,24.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.55,2.05,Normal,,1.3,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.02,1.02,Normal,,0.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.30,0.25,Normal,,2.2,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.61,1.61,Normal,,0.4,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.39,0.39,Normal,,20.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.04,-0.04,Normal,,2.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.28,-0.28,Normal,,0.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.74,1.74,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.73,0.73,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.63,0.63,Normal,,0.0,,
