ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -26,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,23,95,75,වැසි වාර කිහිපයක්
මඩකලපුව,30,24,95,70,වැසි වාර කිහිපයක්
ගකාළඹ,30,24,90,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොේල,30,23,90,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,29,23,95,80,විටින් විට වැසි
මහනුවර,30,20,95,60,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
නුවරඑළිය,21,9,95,45,වැසි වාර කිහිපයක්
රත්නපුරය,34,23,95,50,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,27,23,95,75,වැසි වාර කිහිපයක්
මන්නාරම,28,23,95,75,වැසි වාර කිහිපයක්
