"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 11th November 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌව
Cth khfhzk;
Uva",,,Welimada,,2020.11.06,,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2020.11.09,,1,4,,,,,1,,,,,,
,,,,Wall Collapse,2020.10.30,,1,1,,,,,1,,,,,,
,,,Badulla,Tree Felling,2020.11.02,,1,4,,,,,1,,,,,,
,,බදුල්ල,,Cutting Failure,2020.11.09,,1,5,,,,,1,,,,,,
,1,gJs;is,Haldummulla,,2020.11.04,,1,6,,,,,1,,,,,,
,,Badulla,Ella,Rock Fallen,2020.10.31,,1,6,,,,,1,,,,,,
,,,Rideemaliyadda,High Wind,2020.11.04,,2,7,,,,,2,,,,,,
,,,,Lightning,,,1,3,,,,,1,,,,,,
,,,Uwaparanagame,Heavy Rain,"22002200.1.111.0.054
20",,1,3,,,,,1,,,,,,
,,,Passara,Tree Fallen,2020.11.06,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,,12,47,0,0,0,0,12,0,0,0,0,0,
,,,Thanamalvila,,2020.11.03,,13,52,,,,,11,2,,,,,
,2,ම ානරාගල,Monaragala,High Wind & Heavy Rain,2020.11.02,,4,18,,,,,4,,,,,,
,,"nkhdwhfiy
Moneragala",Medagama,,2020.11.03,,3,14,,,,,3,,,,,,
,,,Bibila,Lightning,2020.11.02,,12,53,,,,,12,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,,32,137,0,0,0,0,30,2,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,,44,184,0,0,0,0,42,2,0,0,0,0,
,3,,Balangoda,Rock Fallen Risk,2020.10.12,,13,56,,,,,,,,2,13,56,"1. Upper Balangoda
Paththini Kovil 2.
Upper Balangoda
Gnanarama Temple"
,,,Embilipitiya,High Wind & Heavy Rain,2020.11.01,,2,11,,,,,2,,,,,,
,,,,,2020.11.03,,2,10,,,,,1,,,,,,
,,,Rathnapura,High Wind,2020.11.03,,2,8,,,,,2,,,,,,
,,,Kalawana,Lightning,2020.11.03,,1,4,,,,,1,,,,,,
,,,,High Wind & Tree Fellen,2020.11.09,,3,6,,,,,3,,,,,,
,,,Pemadulla,Tree Fellen,2020.11.03,,1,4,,,,,1,,,,,,
,,,,"Lightnig & Cutting
Failurehigh wind",2020.11.09,,13,51,,,,,13,,,,,,
,,,,,2020.11.10,,9,46,,,,,9,,,,,,
,,රත්නපුර,Weligepola,Heavy Rain,2020.11.04,,1,3,,,,,1,,,,,,
,,",uj;jpdGhp",Kahawaththa,Land Slide Risk,2020.11.05,,1,5,,,,,,,,,,,
,,Rathnapura,,High Wind,,,2,7,,,,,2,,,,,,
,,,,,2020.11.10,,1,2,,,,,1,,,,,,
,,,,"Lightning/Flood/High
Wind/Cutting Failure",2020.11.09/10,,6,21,,,,,5,1,,,,,
,,,Kiriella,Rock Fallen,2020.11.04,,1,5,,,,,1,,,,,,
,,,,High wind,2020.11.05,,1,4,,,,,1,,,,,,
,,,Nivitigala,High wind & Heavy Rain,2020.11.09,,2,10,,,,,2,,,,,,
,,,Elapatha,High Wind,2020.11.04,,3,12,,,,,3,,,,,,
,,,,Cutting Failura,2020.11.04,,2,7,,,,,2,,,,,,
,,,Kolonna,High Wind,2020.11.08 / 10,,4,15,,,,,4,,,,,,
,,,Godakawela,Lightning,2020.11.10,,1,5,,,,,1,,,,,,
,,,Opanayaka,High Wind,2020.11.11,,8,31,,,,,8,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,,79,323,0,0,0,0,63,1,0,2,13,56,
