දින්‍ය : 2026-05-04,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
මඩකලපුව,33,26,90,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ගකාළඹ,32,25,95,65,වැසි වාර කිහිපයක්
ගාල්ල,31,24,95,75,වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,35,28,80,65,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
මහනුවර,31,23,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
නුවරඑළිය,21,12,95,80,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,34,24,95,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,36,26,90,50,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,33,28,90,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
