River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.99,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.54,11.46,Normal,,1.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.83,1.86,Normal,,,13.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.95,0.93,Normal,,1.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.20,1.19,Normal,,1,,9.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.78,0.78,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.83,2.81,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.98,7.95,Normal,,5.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.03,2.96,Normal,,,12.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.02,2.96,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.62,6.58,Minor Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.48,2.51,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.03,5.02,Major Flood,Falling,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.81,2.80,Major Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.33,6.30,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.01,2.01,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.17,1.16,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.64,0.64,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.34,0.33,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.63,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.29,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.24,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.71,0.71,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.28,0.28,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.27,0.26,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.22,-1.21,Normal,,0.8,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.08,-0.07,Normal,,0.8,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.06,-3.10,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.38,2.50,Normal,,4.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.56,1.55,Normal,,45.2,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.29,0.29,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.40,1.41,Normal,,4.7,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.37,Normal,,1.2,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.29,0.29,Normal,,6.2,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.04,-0.04,Normal,,4.3,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.06,0.06,Normal,,0.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.71,Normal,,0.1,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.94,2.07,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.15,3.11,Normal,,1.2,,
