River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,1.60,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.40,2.40,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.53,10.50,Normal,,,16.8,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.80,Normal,,0.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.80,Normal,,,12.8,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.85,0.81,Normal,,0.0,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.15,1.14,Normal,,2.2,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.06,1.04,Normal,,0.6,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.70,6.71,Normal,,35.7,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.60,3.46,Normal,,,14.6,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.21,3.13,Normal,,2.8,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.97,4.05,Normal,,1.8,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.03,2.05,Normal,,0.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.18,2.10,Normal,,3.6,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.36,1.36,Normal,,,11.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.06,5.05,Alert,Falling,1.8,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.01,1.88,Normal,,,11.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.52,1.45,Normal,,2.8,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,3.44,3.43,Alert,Falling,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.10,2.08,Normal,,0.2,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.43,1.42,Normal,,40.9,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.38,2.34,Normal,,1.4,,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.78,2.51,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.35,1.34,Normal,,0.3,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.98,0.98,Normal,,0.8,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.68,0.67,Normal,,,11.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.34,-0.34,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.80,0.80,Normal,,0.0,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.35,-2.37,Normal,,0.2,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.84,3.00,Normal,,,12.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.42,Normal,,2.9,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.74,0.75,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.26,2.32,Normal,,1.8,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.69,0.68,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.97,1.96,Normal,,0.3,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.65,0.65,Normal,,,17.6,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.26,3.51,Normal,,,14.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.39,3.40,Normal,,30.2,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.14,Normal,,,12.8,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.55,2.50,Normal,,24.,,2,,
