දිනය : 2026-01-28,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,22,95,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,30,23,95,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,30,23,80,55,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,30,24,90,70,ප්‍රධාන වශයයන් වැසි රහිත
යාපනය,29,23,95,80,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,31,20,90,60,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,22,9,95,60,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,35,21,95,55,ප්‍රධාන වශයයන් වැසි රහිත
ත්‍රිකුණාමලය,29,24,90,70,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,29,24,90,75,ප්‍රධාන වශයයන් වැසි රහිත
