,මරණ පිළිබඳ විස්තර (2025.11.26 දින සිට 2025.12.06 දින 1200 පැය දක්වා),,,,,,,,
"අනු
අ.කය",,දිස්ික්කය,,ආපදාව,,,මරණ ප්‍රමාණය,,
01,,පුත්තලම,,"ොය යෑම්
පස්ත්‍ර දු ඩො වැටීම්
ගංවතුර
ජලගැලීම්
දිමේ ගිලීම්",,,34,,
02,,බදුල්ල,,,,,83,,
03,,මමොණරොගල,,,,,4,,
04,,මොතමල්,,,,,28,,
05,,ම ොළඹ,,,,,8,,
06,,මඩ ලපුව,,,,,2,,
07,,ෑගල්ල,,,,,30,,
08,,අනුරොධපුර,,,,,7,,
10,,අම්පොර,,,,,8,,
11,,යොප ය,,,,,3,,
12,,මපොමලොන් රුව,,,,,2,,
13,,මහනුවර,,,,,232,,
14,,රත් පුර,,,,,1,,
15,,කුරුණෑගල,,,,,61,,
16,,නුවරඑළිය,,,,,89,,
17,,හම්බන්මතොට,,,,,1,,
18,,ගොල්ල,,,,,1,,
19,,මන් ොරම,,,,,2,,
20,,ගම්පහ,,,,,13,,
21,,වවුනියොව,,,,,2,,
,එකතුව,,,,,,,611,
