"අනු
අංකය",දිස්ික්කය,ජලා ය,විවෘත කර ඇති වාන් වදාරටු ප්‍රමාණය
01,අනුරොධපුර,ලොවැව,වොන් මදොරටු 02ක් අඩි 04 බැගින් විවෘත ර ඇත.
,,රොජොංග ය,"වොන් මදොරටු 04ක් අඩි 05 බැගින් විවෘත ර ඇත.
වොන් මදොරටු 02ක් අඩි 03 බැගින් විවෘත ර ඇත."
02,මහනුවර,මපොල්මගොල්ල,වොන්මදොරටු 03 අඩි 03 බැගින් විවෘත ර ඇත.
,,වික්මටෝරියො,වොන්මදොරටු 02ක් මස්ත්‍.මී. 70 බැගින් විවෘත ර ඇත.
,,රන්ටැමේ,වොන්මදොරටු 01 මීටර් 1.5 බැගින් විවෘත ර ඇත.
03,මමොණරොගල,මවමහරගල,වොන්මදොරටු 04 අඟල් 03 බැගින් විවෘත ර ඇත.
04,මොතමල්,මබෝවතැන්,වොන්මදොරටු 06 අඩි 2 1/2 බැගින් විවෘත ර ඇත.
05,හම්බන්මතොට,උඩවල,ව ො න් ම ද ො ර ටු 0 1 අ ඩි 1 බ ැ ගි න් වි ව ෘ ත ර ඇ ත .
