,සමස්ථ ආපදා විස්තරය Island-wide Total Incidents Summary,,,සංඛ්‍යාව,
,▪ බලපෑමට ලක් ූ මුළු පවුල් සංඛ්‍යාව,,"576,626","576,626",
▪ බලපෑමට ලක් ූ මුළු පුද්ගල සංඛ්‍යාව,,,"2,054,535",,
,▪ මියයෑම,,611,,
▪ අතුරුදහන්,,,213,,
,▪ පූර්ණ නිවාස හානි,,"4,309",,
▪ අර්ධ්‍ නිවාස හානි,,,"69,635",,
,▪ සුරක්ිත මධ්‍යස්ථාන සංඛ්‍යාව,,956,,
▪ සුරක්ිත මධ්‍යස්ථානයන්ි සිටින මුළු පවුල් සංඛ්‍යාව,,,"33,622",,
,▪ සුරක්ිත මධ්‍යස්ථානයන්ි සිටින මුළු පුද්ගල සංඛ්‍යාව,,"114,126",,
