දිස්ික්කය,,ස්ථානය,වර්ෂාපතනය (මි.මි.),ප්‍රා.වල්.වකාට්ඨා ය
,,,,
,,,,
,,මි.මී. 50 ට වැඩි වර්ෂොප,ත යක් ලැබී ම ොමැත.,
,,,,
