,සුරක්ිත මධ්‍යස්ථාන පිළිබඳ විස්තර (2025.12.06 දින 1200 පැය දක්වා),,,,,,,,,,,,,
,අ.අ,,,දිස්ික්කය,,,ආරක්ිත ස්ථාන සංඛ්‍යාව,,,පවුල් සංඛ්‍යාව,,,පුද්ගලයින් සංඛ්‍යාව,
1,,,පුත්තලම,,,52,,,"1,874",,,"7,609",,
2,,,බදුල්ල,,,178,,,"6,246",,,"21,002",,
3,,,මමොණරොගල,,,2,,,51,,,142,,
4,,,මොතමල්,,,44,,,"1,355",,,"4,113",,
5,,,ම ොළඹ,,,86,,,"3,238",,,"10,939",,
6,,,මඩ ලපුව,,,0,,,0,,,0,,
7,,,ෑගල්ල,,,54,,,"6,027",,,"20,381",,
8,,,ත්‍රිකුණොමලය,,,6,,,170,,,570,,
9,,,අනුරොධපුර,,,13,,,266,,,758,,
10,,,මුලතිව්,,,40,,,"1,191",,,"3,591",,
11,,,කිලිම ොච්චි,,,0,,,0,,,0,,
12,,,අම්පොර,,,14,,,641,,,"2,202",,
13,,,යොප ය,,,6,,,124,,,386,,
14,,,මපොමලොන් රුව,,,6,,,604,,,"2,166",,
15,,,නුවර,,,341,,,"8,992",,,"30,870",,
16,,,රත් පුර,,,10,,,106,,,389,,
17,,,කුරුණෑගල,,,43,,,"1,209",,,"4,274",,
18,,,නුවරඑළිය,,,35,,,885,,,"2,794",,
19,,,මොතර,,,0,,,0,,,0,,
20,,,හම්බන්මතොට,,,0,,,0,,,0,,
21,,,ගොල්ල,,,0,,,0,,,0,,
22,,,ළුතර,,,0,,,0,,,0,,
23,,,මන් ොරම,,,1,,,57,,,163,,
24,,,ගම්පහ,,,20,,,451,,,"1,394",,
25,,,වවුනියොව,,,5,,,135,,,383,,
,එකතුව,,,,,,956,,,"33,622",,,"114,126",
