දිස්ික්කය,විමසිලිමත්ත මට්ටම (කහ),අවදානම් මට්ටම (ඇම්බර්),ඉවත්තවීම (රතු)
බදුල්ල,,"මීගහකිවුල, හොලි ඇල, වැලිමඩ,
ඌව පරණගම, න්ද ැටිය,
ලුණුගල, බණ්ඩොරමවල,
මස්ත්‍ොරණමතොට, පස්ත්‍රස්ත්‍ර, බදුල්ල,
ඇල්ල, හල්දුම්මුල්ල, හපුතමල්",
ම ොළඹ,"සීතොව , පොදුක්",,
ගොල්ල,"ඇල්ිටිය, යක් ලමුල්ල",,
ගම්පහ,"අත්ත ගල්ල, මිරිගම, දිවුලිටිය",,
ළුතර,"මහොරණ, බුලත්සිංහල, ඉංගිරිය",,
මහනුවර,,,"උඩුදුම්බර, මිනිමේ, මදොළුව,
මැදදුම්බර, පොතමහවර ොහැට, ගඟඉහල
ම ොරමල්, උඩපලොත, මදල්මතොට,
ගඟවටම ෝරමල්, අකුරණ,
උඩුනුවර, යටිනුවර, පොතදුම්බර,
තුම්පමන්, පස්ත්‍රබොමේම ොරමල්,
පන්විල, හොරිස්ත්‍රපත්තුව, පූජොිටිය,
කුණ්ඩස්ත්‍ොමල්, හතරලිද්ද"
ෑගල්ල,,,"රඹුක් , අරණොය , මොව ැල්ල,
බුලත්ම ොහුිටිය, ෑගල්ල,
වර ොමපොල, ගලිගමුව,
යටියන්මතොට, මදහිඕවිට,
දැරනියගල, රුවන්වැල්ල"
කුරුණෑගල,,,"රිදීගම, ොරම්මල, අලව්ව,
මපොල්ගහමවල, මල්ලවිටිය,
මොවතගම"
මොතමල්,,,"යටවත්ත, විල්ගමුව, අඹන්ගඟ
ම ෝරමල්, උකුමවල, රත්මතොට,
ොඋල, පල්මලමපොල, ලේගල
පල්මල්ගම, මොතමල්"
මොතර,"අතුරලිය, පස්ත්‍රමගොඩ",,
මමොණරොගල,"බිබිල, මැදගම",,
නුවරඑළිය,,"ම ොත්මමල් ැමග හිර,
ම ොත්මමල් බටහිර, අඹගමුව,
නුවරඑළිය, ම ොර්වුඩ්,
තලව ැමල්","නිල්දණ්ඩොහින් , මතුරට,
වලපමන්, හඟුරන්ම ත"
රත් පුර,"කුරුවිට, ඇහැලියමගොඩ, අයගම,
ඉඹුල්මප, බලංමගොඩ, ල්මතොට,
පැල්මඩුල්ල, නිවිතිගල, ලවො ,
කිරිඇල්ල, ඇලපොත රත් පුර,
ඕප ොය","මගොඩ මවල, හවත්ත,
ම ොමලොන්",
