River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,1.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.99,3.95,Normal,,3.5,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.61,11.55,Normal,,50.0,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.03,2.10,Normal,,,15.1,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.03,1.02,Normal,,,14.3,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.19,1.18,Normal,,10.2,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.88,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.04,2.00,Normal,,7.5,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.74,6.75,Normal,,5.1,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.56,2.50,Normal,,7.2,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.71,2.80,Normal,,7.9,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.93,5.89,Alert,Falling,1,,9.9,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.68,2.63,Normal,,39.4,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.07,3.05,Normal,,27,,,.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.22,1.21,Normal,,48.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.20,4.20,Normal,,11.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.17,1.20,Normal,,9.1,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.57,0.57,Normal,,2.6,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.84,0.83,Normal,,5.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.15,0.15,Normal,,2.4,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.62,0.62,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.13,1.13,Normal,,4.3,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.28,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,0.9,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.52,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.18,0.19,Normal,,0.0,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.97,-0.99,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.17,0.15,Normal,,0.0,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.55,-2.80,Normal,,1.4,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.98,2.99,Normal,,0.0,,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.55,1.54,Normal,,0.0,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.36,Normal,,0.1,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.96,0.97,Normal,,3.6,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.74,1.74,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.19,1.19,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.03,-0.03,Normal,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.24,1.23,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.94,2.93,Normal,,0.2,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.70,1.69,Normal,,2.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.28,2.30,Normal,,0.0,,,,
