දින්‍ය : 2026-02-15,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,22,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,29,25,95,80,වැසි වාර කිහිපයක්
්කාළඹ,34,24,85,50,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,29,24,90,70,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති ්ේ
යාපනය,30,23,90,65,වැසි සරවල්පයක්
මහනුවර,28,20,95,70,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,18,14,95,80,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති ්ේ
රත්නපුරය,30,23,95,70,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති ්ේ
ිකුණාමලය,29,26,90,70,සිහින වැසි වාර කිහිපයක්
මනනාරම,31,25,85,70,වැසි සරවල්පයක්
