River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water 1
Level i
Rising or
Falling","5 Hr RF
n mm at
12:00
midnight"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.80,3.76,Normal,,2.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.78,10.77,Normal,,9.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.63,1.62,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.79,0.79,Normal,,1.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.02,Normal,,2.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.78,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.73,4.70,Minor Flood,Falling,1.7
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.80,9.74,Normal,,9.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.54,3.47,Normal,,3.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.61,2.58,Normal,,13.6
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.18,8.10,Major Flood,Falling,2.7
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.58,4.55,Minor Flood,Falling,4.2
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.48,2.48,Normal,,7.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.16,2.14,Minor Flood,Falling,6.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.47,5.46,Alert,Falling,2.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.65,1.66,Normal,,7.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.90,0.90,Normal,,7.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.03,1.03,Normal,,2.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.28,0.28,Normal,,10.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,1.3
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.28,Normal,,7.6
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.21,-0.21,Normal,,5.5
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.75,0.75,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.37,0.37,Normal,,1.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.31,0.31,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.07,0.07,Normal,,5.9
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.85,-2.40,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.43,2.51,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.30,1.30,Normal,,0.3
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.30,0.30,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.49,1.49,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.78,0.78,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.78,Normal,,3.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.45,Normal,,5.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.38,2.36,Normal,,7.5
