River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.50,3.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.37,6.32,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.41,13.30,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.93,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.57,1.49,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.52,1.46,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.04,1.03,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.90,3.91,Alert,Rising,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.43,10.43,Alert,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.59,6.55,Alert,Falling,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.24,5.25,Alert,Rising,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.44,8.46,Major Flood,Rising,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.56,3.46,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.76,4.76,Minor Flood,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.43,2.44,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.48,6.47,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.48,2.44,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.65,1.58,Normal,,,0.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.99,3.97,Normal,,2.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.90,2.81,Normal,,,0.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.91,4.90,Minor Flood,Falling,0.0,
