ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -23,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,22,95,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,28,24,90,75,වැසි සව් ල්පයක්
යකාළඹ,32,23,85,65,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,30,24,90,75,ප්‍රධාන වශයයන් වැසි රහිත
යාපනය,30,22,80,55,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,20,90,70,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,21,9,95,85,වැසි සව් ල්පයක්
රත්නපුරය,33,22,95,75,ප්‍රධාන වශයයන් වැසි රහිත
ත්‍රිකුණාමලය,28,24,85,65,වැසි සව් ල්පයක්
මන්නාරම,30,25,85,65,ප්‍රධාන වශයයන් වැසි රහිත
