River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.75,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.16,2.12,Normal,,0.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.12,10.05,Normal,,2.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.76,1.86,Normal,,3.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.84,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.71,Normal,,1,3.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.94,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.13,1.12,Normal,,5.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.03,6.00,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.04,2.00,Normal,,9.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.07,2.07,Normal,,1.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.92,3.86,Normal,,7.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.80,2.77,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.06,2.06,Normal,,1.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.87,1.87,Minor Flood,,1,4.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.30,5.29,Alert,Falling,7.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.49,1.47,Normal,,0.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.97,0.97,Normal,,2.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.53,2.68,Normal,,5.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.49,1.49,Normal,,1.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.11,1.11,Normal,,2.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.92,1.92,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.15,1.14,Normal,,0.6,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.91,1.90,Normal,,4.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.65,1.65,Normal,,31.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.20,1.17,Normal,,1.2,
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.17,2.20,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.31,3.34,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.56,-0.58,Normal,,0.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.50,2.70,Normal,,0.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.15,1.15,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.99,0.99,Normal,,7.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.48,3.45,Normal,,3.3,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.32,1.38,Normal,,7.8,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.10,4.95,Normal,,5.6,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.49,0.47,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.57,1.57,Normal,,0.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.80,2.79,Normal,,0.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.54,Normal,,2.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.37,2.34,Normal,,0.0,
