River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.60,1.59,Normal,,11.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.69,9.68,Normal,,1.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.68,1.67,Normal,,2.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.47,0.47,Normal,,0.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.72,0.70,Normal,,3.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.69,0.69,Normal,,2.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.85,0.79,Normal,,5.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.40,5.39,Normal,,15.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.36,1.35,Normal,,2.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.59,1.62,Normal,,4.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.16,3.18,Normal,,18.7,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.93,1.95,Normal,,13.5,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.98,2.04,Normal,,17.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.62,1.62,Alert,,66.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.22,4.35,Normal,,39.,0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.40,1.41,Normal,,15.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.75,0.73,Normal,,23.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.54,0.54,Normal,,4.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.15,0.13,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.42,0.41,Normal,,8.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.27,Normal,,0.8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,2.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.61,0.63,Normal,,5.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.12,0.12,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.41,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.27,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.08,-3.11,Normal,,2.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.35,1.48,Normal,,9.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.18,1.18,Normal,,3.1,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.10,0.10,Normal,,3.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.41,1.41,Normal,,1.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.8,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.36,0.36,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.10,-0.10,Normal,,1.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.18,-0.18,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.16,2.16,Normal,,5.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.03,1.03,Normal,,1.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.64,1.63,Normal,,13.3,
