River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.40,3.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.23,6.37,Normal,,47.6
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.32,14.55,Normal,,41.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.35,2.28,Normal,,67.9
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.34,3.30,Alert,Falling,33.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.20,3.14,Normal,,68.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.92,1.86,Alert,Falling,39.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.87,2.85,Normal,,25.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.40,8.38,Normal,,29.6
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.88,5.25,Alert,Rising,28.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.14,3.09,Normal,,8.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.56,6.55,Minor Flood,Falling,30.3
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.15,3.10,Normal,,5.9
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.91,3.20,Normal,,42.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.39,1.39,Normal,,5.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.15,5.12,Alert,Falling,10.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.82,1.92,Normal,,11.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.15,1.16,Normal,,23.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.31,Normal,,4.2
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.58,0.58,Normal,,17.4
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,1.3
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.34,1.33,Normal,,4.5
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.09,-0.09,Normal,,20.1
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.78,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.40,0.40,Normal,,3.3
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.69,0.68,Normal,,1.4
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.10,-3.10,Normal,,1.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.02,4.33,Normal,,23.4
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.47,3.10,Normal,,71.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.45,0.48,Normal,,2.3
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.85,1.84,Normal,,5.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,3.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.62,1.62,Normal,,3.4
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.87,5.87,Alert,,7.7
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.04,4.07,Normal,,25.2
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.37,3.46,Normal,,24.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.79,4.79,Minor Flood,,16.4
