River Basin,Tributory/River,Gauging Station,,,,,,,"Water
Level
before
1hr","Water
Level at
9.00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr
RF in
mm at
9.00 am"
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,"6° 28' 5.9'' N
81° 8' 2.8'' E",749,m,4.00,5.00,5.50,0.68,0.67,Normal,,0.6
,Kirindi Oya,Wellawaya,"6° 42' 33.3'' N 81°
6' 41.6'' E",172,m,4.40,5.40,5.90,0.79,0.79,Normal,,4.6
,Kuda Oya,Kuda Oya,"6° 31' 28.8'' N
81° 07' 24'' E",291,m,6.90,8.40,8.80,1.45,1.45,Normal,,0.0
"Kumbukkan
Oya (RB 31)",Kumbukkan Oya,Nakkala,"6° 53' 42.4'' N 81°
17' 49.3'' E",216,m,5.00,6.00,7.50,0.96,0.96,Normal,,2.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,"6° 54' 16.5'' N 81°
32' 44.4'' E",295,m,4.50,5.00,5.60,0.67,0.67,Normal,,5.1
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,"7° 23' 0'' N
81° 11' 30'' E",159,m,4.00,4.50,6.00,0.44,0.43,Normal,,19.8
"Mahaweli
Ganga (RB 60)",Mahaweli Ganga,Manampitiya,"7° 54' 53.3'' N
81° 5' 10'' E",7418,m,3.50,5.00,6.00,0.55,0.54,Normal,,5.9
,Mahaweli Ganga,Weragantota,"7° 19' 0'' N 80°
59' 18.3'' E",4092,m,5.00,6.00,8.00,-2.67,-2.72,Normal,,1.4
,Mahaweli Ganga,Peradeniya,"7° 16' 3'' N 80°
36' 30'' E",1168,m,5.00,7.00,9.00,1.89,1.91,Normal,,0.9
,Mahaweli Ganga,Nawalapitiya,"7° 2' 55'' N 80°
32' 3'' E",176,m,3.00,4.00,4.50,1.02,1.03,Normal,,17.1
,Badulu Oya,Taldena,"7° 5' 26.7'' N 81°
2' 53.3'' E",276,m,3.00,4.00,5.00,0.68,0.71,Normal,,3.2
,Agra Oya,Calidonia,"6° 54' 8.3'' N 80°
42' 00'' E",148,m,_,_,_,0.70,0.68,_,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,"8° 34' 39.44'' N
80° 52' 43.25'' E",720,m,6.00,7.30,10.44,1.63,1.63,Normal,,5.5
"Maa Oya (RB
69)",Mukunu Oya,Yakawewa,"8° 43' 19'' N 80°
40' 50'' E",,m,,,,0.52,0.52,,,16.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,"8° 35' 13.57'' N
80° 16' 31.14'' E",2116,m,6.75,7.25,_,1.11,1.10,Normal,,18.2
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,"7° 58' 13.3'' N
80° 15' 18.3'' E",299,m,4.84,5.94,8.00,0.36,0.35,Normal,,2.7
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),"7° 43' 36'' N 80°
15' 48'' E",1370,m,_,_,_,1.23,1.23,,,8.5
"Maha Oya
(RB 102)",Maha Oya,Badalgama,"7° 18' 3.3'' N
79° 58' 50'' E",1360,m,5.00,6.20,9.60,2.66,2.69,Normal,,5.6
,Maha Oya,Giriulla,"7° 19' 30'' N 80°
6' 53.3'' E",1192,m,5.50,6.50,7.50,1.63,1.61,Normal,,32.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,"7° 7' 0'' N
80° 4' 54.5'' E",153,m,3.30,4.40,5.50,3.06,3.00,Normal,,54.8
