River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,1.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.81,2.74,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.43,10.38,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.78,1.90,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.11,1.08,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.75,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.61,1.55,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.20,6.15,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.10,2.07,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.49,2.40,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.25,5.19,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.09,4.07,Minor Flood,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.36,2.34,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.99,1.98,Minor Flood,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.62,5.60,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.64,1.62,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.03,1.03,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.56,2.50,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.13,7.10,Alert,Falling,18.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,7.32,7.33,Minor Flood,Rising,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.41,3.37,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.18,2.10,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.48,2.44,Normal,,0.0
