River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
PM",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.90,2.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.25,2.36,Normal,,110.7,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.22,10.91,Normal,,98.1,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.76,1.86,Normal,,47.6,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,1.08,Normal,,42.8,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.90,3.56,Normal,,6,1.5,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,1.05,Normal,,27.2,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.69,2.61,Normal,,5.3,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.22,8.22,Normal,,18.0,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.23,4.38,Normal,,20.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.60,4.78,Alert,Rising,31.8,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.42,6.43,Alert,Rising,6.4,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.17,3.16,Normal,,1.5,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.43,2.28,Normal,,9.3,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.17,1.16,Normal,,24.1,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.99,3.94,Normal,,12.3,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.05,1.03,Normal,,9.8,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.41,0.40,Normal,,11.1,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.19,1.17,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.49,1.46,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.35,1.35,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.64,1.64,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.88,0.88,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.00,1.00,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.57,0.55,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.30,0.29,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.59,0.59,Normal,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.07,-3.06,Normal,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.95,2.05,Normal,,37.3,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.30,Normal,,18.4,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.59,0.58,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.45,2.49,Normal,,6,3.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.61,0.61,Normal,,9.7,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.27,3.25,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.18,1.82,Normal,,0.8,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.38,1.36,Normal,,40.2,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.93,3.02,Normal,,78,,.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.21,2.58,Normal,,141.4,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.80,2.86,Normal,,98.2,,,,
