River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.80,4.90,Alert,Rising,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.16,8.16,Minor Flood,,17.,,,3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,15.55,15.46,Alert,Falling,30.6,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,2.00,Normal,,0.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.56,1.53,Normal,,0.6,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.74,1.67,Normal,,2.7,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,0.98,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.49,3.50,Alert,Rising,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.65,9.68,Normal,,"2.6
0.0",,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.43,6.35,Alert,Falling,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.85,5.82,Alert,Falling,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.57,7.61,Minor Flood,Rising,0.0,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.58,3.31,Normal,,1,,3.4,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.65,3.67,Alert,Rising,0.7,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.23,1.23,Normal,,,7.9,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.44,5.43,Alert,Falling,4.5,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.81,1.77,Normal,,3.7,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.67,0.65,Normal,,,7.5,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.19,4.05,Normal,,1.9,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.83,2.71,Normal,,28.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.33,5.36,Minor Flood,Rising,0.9,,,,
