දින්‍ය : 2026-03-15,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,24,95,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,31,25,90,70,වැසි ස්වල්පයක්
හකාළඹ,31,25,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,33,25,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,34,23,95,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,33,21,95,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,22,13,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,36,23,95,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,32,25,90,65,වැසි ස්වල්පයක්
මන්නාරම,35,24,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
