River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3.00 am",Remarks,"Water Level 1
Rising or i
Falling","8 Hr RF
n mm at
3.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.82,6.87,Normal,,84.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,15.02,14.89,Normal,,108.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.13,Normal,,7.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.44,2.39,Normal,,119.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.19,1.18,Normal,,74.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.80,1.71,Alert,Falling,33.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.13,2.23,Normal,,165.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.50,8.53,Normal,,96.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.13,6.16,Alert,Rising,49.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.30,4.41,Alert,Rising,40.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.16,5.20,Alert,Rising,40.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.18,3.22,Normal,,77.7
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.21,4.30,Alert,Rising,106.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.35,1.35,Normal,,22.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.48,6.56,Minor Flood,Rising,87.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.78,3.75,Normal,,38.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.80,2.67,Alert,Falling,26.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,6.30,6.25,Minor Flood,Falling,76.9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.91,3.88,Normal,,13.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.87,4.91,Alert,Rising,31.2
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,5.88,5.90,Alert,Rising,33.8
,Maha Oya,Giriulla,m,5.50,6.50,7.50,5.05,4.85,Normal,,63.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.41,5.45,Minor Flood,Rising,44.1
