River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.78,5.81,Normal,,7.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.56,13.53,Normal,,14.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.20,Normal,,35.3,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.51,1.50,Normal,,14.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.18,1.11,Normal,,20,.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.34,1.34,Normal,,10.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.81,2.81,Normal,,4.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.95,8.98,Normal,,18,.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.99,5.95,Alert,Falling,21,.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.63,4.61,Alert,Falling,7.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.76,6.76,Minor Flood,,12.4,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.80,3.80,Alert,,9.6,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.96,3.98,Normal,,28.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.54,Alert,Rising,3.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.91,5.90,Alert,Falling,10.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.37,2.33,Normal,,2.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.41,1.40,Normal,,7.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.41,1.47,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.37,0.37,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.63,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.29,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.74,0.74,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.44,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.19,0.21,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.14,-3.12,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.72,3.87,Normal,,5.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.28,2.22,Normal,,20,.3,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.33,0.32,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.68,1.68,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.41,2.40,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.43,3.40,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.17,2.15,Normal,,2.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.35,Alert,Falling,3.8,,
