River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.20,1.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.98,3.24,Normal,,172.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.53,11.91,Normal,,70.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.82,1.82,Normal,,62.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.33,1.34,Normal,,43.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.49,1.96,Normal,,73.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,23.9,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.95,2.05,Normal,,93.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.61,8.72,Normal,,206.2,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.75,5.67,Alert,Falling,46.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.71,6.79,Minor Flood,Rising,85.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.87,6.00,Alert,Rising,131.,5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.51,3.52,Alert,Rising,71.2,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.25,5.05,Alert,Falling,141.,8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.18,1.18,Normal,,42.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.60,5.63,Alert,Rising,90.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.25,2.19,Normal,,28.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.25,1.18,Normal,,92.9,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.73,0.73,Normal,,10.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.17,0.17,Normal,,2.2,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.69,0.69,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,1.2,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,4.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.60,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.28,0.28,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.01,0.00,Normal,,58.9,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.40,-2.49,Normal,,4.7,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.41,1.49,Normal,,3.4,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.48,Normal,,16.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.22,Normal,,4.2,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.54,1.54,Normal,,3.3,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,1.4,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.90,0.89,Normal,,0.8,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.05,Normal,,18.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.46,0.49,Normal,,75.1,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.72,2.80,Normal,,128.,5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.85,1.95,Normal,,68.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.78,1.84,Normal,,52.2,,
