River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.05,0.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.76,2.72,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.80,10.76,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.81,1.79,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.60,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.13,1.15,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.94,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.09,1.02,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.03,5.99,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.85,1.82,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.13,2.12,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.80,3.74,Normal,,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.93,1.92,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.13,2.10,Normal,,7.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.65,0.64,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.58,3.54,Normal,,4.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.92,0.90,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.31,0.30,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.78,0.77,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.14,-0.14,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.51,0.51,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.29,-0.29,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.67,0.67,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.11,0.11,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.16,-1.15,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.02,-0.01,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.94,-2.95,Normal,,0.4,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.35,Normal,,1.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.78,1.78,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.22,0.21,Normal,,0.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.46,1.46,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.00,1.00,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.04,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.07,0.07,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.35,2.33,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.19,1.18,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.10,1.08,Normal,,0.0,
