දිනය : 2026-07-04,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,90,55,සිහින් වැසි වාර කිහිපයක්
මඩකලපුව,35,26,80,45,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,29,26,90,70,විටින් විට වැසි
ගාල්ල,29,25,95,75,විටින් විට වැසි
යාපනය,31,28,80,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,22,95,65,වැසි වාර කිහිපයක්
නුවරඑළිය,18,13,95,65,විටින් විට වැසි
රත්නපුරය,30,23,95,65,විටින් විට වැසි
ත්‍රිකුණාමලය,34,26,75,50,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,27,85,60,ප්‍රධාන වශයයන් වැසි රහිත
