දින්‍ය : 2026-02-27,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධපුරෙ,32,21,90,55,ප්‍රධොන වශනෙේ වැසි රහිත
ඩකලපුව,29,24,95,70,ප්‍රධොන වශනෙේ වැසි රහිත
නකොළඹ,31,25,85,60,ප්‍රධොන වශනෙේ වැසි රහිත
ගොල්ල,29,24,90,75,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විෙ ැක
ෙොපනෙ,31,22,95,65,ප්‍රධොන වශනෙේ වැසි රහිත
නුවර,30,18,95,50,ප්‍රධොන වශනෙේ වැසි රහිත
නුවරඑළිෙ,21,12,90,55,ප්‍රධොන වශනෙේ වැසි රහිත
රත්තනපුරෙ,33,22,95,50,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විෙ ැක
ිකුණො ලෙ,29,22,95,70,ප්‍රධොන වශනෙේ වැසි රහිත
ේනොර,33,23,90,65,ප්‍රධොන වශනෙේ වැසි රහිත
