பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 2 - 2 7,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,32,21,90,55,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,29,24,95,70,பிரதானமாக சீரான வானிலை
வகாழும்பு,31,25,85,60,பிரதானமாக சீரான வானிலை
காலி,29,24,90,75,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய
மலை வபய்யும் சாத்தியம்"
யாழ்ப்பாணம்,31,22,95,65,பிரதானமாக சீரான வானிலை
கண்டி,30,18,95,50,பிரதானமாக சீரான வானிலை
நுவவரலியா,21,12,90,55,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,33,22,95,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய
மலை வபய்யும் சாத்தியம்"
திருககாணமலை,29,22,95,70,பிரதானமாக சீரான வானிலை
மன்னார்,33,23,90,65,பிரதானமாக சீரான வானிலை
