River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.80,3.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.60,4.55,Normal,,1.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.91,11.82,Normal,,12.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.86,1.80,Normal,,15.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.18,1.16,Normal,,21.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.06,1.09,Normal,,27.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.06,1.06,Normal,,20.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.64,2.64,Normal,,11.4,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.08,8.00,Normal,,60.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.16,3.09,Normal,,0.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.11,3.97,Normal,,38.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.06,6.05,Alert,Falling,4.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.57,3.57,Alert,,6.3,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.05,2.97,Normal,,93.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.98,1.98,Minor Flood,,0.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.61,6.68,Minor Flood,Rising,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.50,2.42,Normal,,90.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.62,1.60,Normal,,10.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.78,2.80,Alert,Rising,0.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.89,1.81,Normal,,0.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.23,1.21,Normal,,7.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.15,2.10,Normal,,9.2,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.55,0.55,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.13,1.11,Normal,,0.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.50,0.50,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.87,-0.87,Normal,,9.2,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.27,0.27,Normal,,9.2,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.93,-2.95,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.99,3.20,Normal,,23.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.37,1.36,Normal,,31.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.61,0.61,Normal,,5.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.00,2.00,Normal,,8.2,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,6.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.25,1.24,Normal,,35.3,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.34,0.34,Normal,,4.4,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.34,4.34,Normal,,0.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.70,3.67,Normal,,44.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.46,2.43,Normal,,90.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.13,5.11,Minor Flood,Falling,29.3,
