River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 p.m.",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 p.m.",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.25,2.25,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.32,4.45,Normal,,62.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.89,11.89,Normal,,65.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.58,1.57,Normal,,46.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.42,1.39,Normal,,33.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.88,Normal,,77.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.67,0.66,Normal,,7.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.22,1.22,Normal,,19.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.63,5.74,Normal,,50.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.67,1.90,Normal,,25.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.63,4.86,Alert,Rising,7.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.95,5.05,Alert,Rising,49.9,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.88,2.91,Normal,,41.2,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.69,2.64,Normal,,30.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.94,0.95,Normal,,28.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.05,4.28,Normal,,28.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.36,1.34,Normal,,11.1,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.67,0.64,Normal,,24.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.04,1.04,Normal,,2.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.72,0.71,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,1.16,1.11,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.33,-2.33,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.50,1.50,Normal,,3.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.06,1.06,Normal,,18.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.52,0.54,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.60,2.66,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.07,1.07,Normal,,34.6,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.16,3.18,Normal,,47.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.20,Normal,,52.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.23,4.27,Alert,Rising,111.0,
