River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.25,2.30,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.42,4.34,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.60,11.51,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.95,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.12,1.10,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.05,1.02,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.04,1.16,Normal,,11.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.57,2.53,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.86,7.80,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.97,2.90,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.84,3.74,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.03,6.02,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.57,3.57,Alert,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.72,2.69,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.98,1.98,Minor Flood,,0.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.48,6.42,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.24,2.18,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.37,1.35,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.62,3.61,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.40,2.49,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.07,5.05,Minor Flood,Falling,0.0
