"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :04th February 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",1,"නුෙරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,"Landslide Risk/
Cutting Failiture/Falsh
Flood",2025.01.29,35,171,,,,,4,,,1,1,7,
,,,Hanguranketha,,,78,291,,,,,75,,,,,,
,,,Kothmale,,,1,3,,,,,1,,,,,,
,,,Walapane,,,58,238,,,,,4,,,1,10,30,
,,,,Heavy Rain,2025.02.03,8,28,,,,,8,,,,,,
,,,Nildandahinna,Heavy Rain,2025.02.03,61,211,,,,,31,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,241,942,0,0,0,0,123,0,0,2,11,37,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,241,942,0,0,0,0,123,0,0,2,11,37,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",2,"රත්නපුර
,uj;jpdGhp
Rathnapura",Imbulpe,Cutting Failiure,2025.01.30,7,31,,,,,7,,,,,,
,,,Kiriella,Lihghtning,2025.01.31,1,2,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,8,33,0,0,0,0,8,0,0,0,0,0,
,3,"කෑගල්ල
Nffhiy
Kegalle",Kegalle,Tree fallen,2025.01.31,1,4,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,9,37,0,0,0,0,9,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;
Southern",4,"හම්බනවතාට
`k;ghe;Njhl;il
Hambantota",Okewela,Tree fallen,2025.01.27,,,,,,,,,1,,,,
,,,Beliatta,High Wind,2025.01.29,1,3,,,,,1,,,,,,
,,,Tissamaharamaya,,2025.01.30,1,3,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,2,6,0,0,0,0,2,0,1,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,2,6,0,0,0,0,2,0,1,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,252,985,0,0,0,0,134,0,1,2,11,37,
ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
