River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.65,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.37,2.33,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.24,10.21,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.75,1.55,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.66,0.65,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.97,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.79,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.28,1.18,Normal,,0.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.44,6.36,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.16,2.10,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.13,2.10,Normal,,1.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.88,3.83,Normal,,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.05,2.01,Normal,,,2.1
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.74,2.71,Normal,,0.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.80,1.80,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.23,5.18,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.47,1.45,Normal,,7.1,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.83,0.82,Normal,,1.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.75,0.75,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.27,-0.27,Normal,,0.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.40,0.40,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.58,0.58,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.12,0.12,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.45,-1.45,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.31,-0.31,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.09,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.43,1.40,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.34,1.33,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.09,0.08,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.42,1.42,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.41,0.41,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.09,-0.09,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.12,-0.12,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.55,2.53,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.30,1.30,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.38,2.34,Normal,,0.0,
