River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
1
Falling","03 Hr RF
in mm at
2.00 Noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.70,3.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.74,6.66,Normal,,1.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.66,13.48,Normal,,3.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.82,Normal,,3.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.80,1.78,Normal,,8.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.55,1.53,Normal,,4,.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.41,1.39,Normal,,1.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.73,2.72,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.60,8.60,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.99,4.90,Normal,,2.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.37,3.33,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.39,6.38,Alert,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.21,3.23,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.17,3.00,Normal,,4,.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.37,1.45,Alert,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.28,5.26,Alert,Falling,2.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.04,1.99,Normal,,1.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.12,1.10,Normal,,1.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.53,1.51,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.57,0.56,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.32,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.11,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.29,0.28,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.06,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.12,3.00,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.90,1.89,Normal,,2.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.36,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.80,1.80,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.53,1.50,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.10,2.10,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.57,4.45,Normal,,1.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.31,4.21,Normal,,0.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.21,3.14,Normal,,0.6,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.72,4.67,Minor Flood,Falling,0.0,
