River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 AM","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12:00
Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.85,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.14,5.34,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.55,14.50,Normal,,2.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.76,2.70,Normal,,4.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.88,1.78,Normal,,,1.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.17,2.14,Normal,,5.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.54,1.53,Alert,Falling,3.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.42,2.43,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.40,9.41,Normal,,3.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.92,6.85,Alert,Falling,3.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.40,3.30,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.80,5.82,Alert,Rising,4.3,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.76,2.70,Normal,,,0.7,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.06,3.05,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.18,6.15,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.87,1.82,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.98,0.95,Normal,,,1.2,
