දිනය : 2026-05-08,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,95,55,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,33,27,90,65,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,33,26,95,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,31,26,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,33,25,95,50,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ම නුවර,30,23,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,22,14,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,34,25,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,33,26,90,60,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,32,27,90,65,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
