River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.55,1.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.13,3.05,Normal,,13.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.62,10.50,Normal,,32,.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.73,Normal,,44.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.78,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.73,Normal,,9.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.69,0.68,Normal,,17.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.53,1.51,Normal,,12.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.73,6.72,Normal,,61.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.18,3.03,Normal,,4.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.39,2.41,Normal,,29,.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.01,5.00,Alert,Falling,47.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.36,3.36,Normal,,43.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.28,2.27,Normal,,53.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.85,1.83,Minor Flood,Falling,3.6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.98,5.93,Alert,Falling,15.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.46,1.44,Normal,,14.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.75,0.74,Normal,,2.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.95,1.95,Normal,,0.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.68,1.67,Normal,,3.5,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.18,1.18,Normal,,13.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.05,2.04,Normal,,2.3,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.66,1.66,Normal,,3.3,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.11,2.15,Normal,,12.4,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.19,1.30,Normal,,16.6,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.38,1.50,Normal,,22.1,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.29,1.34,Normal,,14.6,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.43,2.48,Normal,,14.6,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.68,-0.68,Normal,,16.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.48,2.69,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.14,1.11,Normal,,3.5,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.15,1.16,Normal,,15.4,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.19,2.21,Normal,,5.1,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.76,0.76,Normal,,0.5,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.26,2.28,Normal,,1.4,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.68,1.69,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.47,1.47,Normal,,0.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.75,2.73,Normal,,16.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.43,1.41,Normal,,8.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.12,3.06,Normal,,30,.2,
