River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.80,0.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.30,0.32,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.45,8.43,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.52,1.53,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.26,0.26,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.06,0.05,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.39,0.39,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.39,0.24,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,3.82,3.82,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.65,0.63,Normal,,0.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.72,0.72,Normal,,2.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.58,1.54,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.18,1.19,Normal,,9.4
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.04,1.06,Normal,,1.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.36,0.31,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.44,1.44,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.21,0.21,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.01,0.01,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.84,0.84,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.60,0.61,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.96,0.97,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.18,1.18,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.13,-0.14,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.90,0.90,Normal,,5.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.63,0.62,Normal,,10.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.08,1.07,Normal,,10.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.38,2.35,Normal,,41.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.36,-2.12,Normal,,10.1
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.10,1.20,Normal,,1.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.62,0.62,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.56,0.56,Normal,,6.6
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.43,1.43,Normal,,3.1
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.23,1.23,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.04,Normal,,3.5
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.10,0.10,Normal,,0.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.78,1.78,Normal,,0.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.71,0.71,Normal,,3.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.13,0.13,Normal,,0.0
