River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,0.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.38,2.38,Normal,,75.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.62,10.62,Normal,,59.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.71,1.90,Normal,,24.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.71,0.70,Normal,,23.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.04,Normal,,10.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.96,Normal,,28.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.15,1.13,Normal,,22.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.80,5.91,Normal,,14.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.38,3.36,Normal,,18.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.58,4.47,Alert,Falling,20.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.51,4.51,Normal,,51.2,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.79,2.58,Normal,,66.2,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.08,2.15,Normal,,122.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.74,0.78,Normal,,36.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.58,4.65,Normal,,29.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.94,1.74,Normal,,62.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.88,1.85,Normal,,45.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.79,0.79,Normal,,12.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.43,1.32,Normal,,27.6,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.89,0.86,Normal,,123.1,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.50,1.46,Normal,,68.6,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.42,0.45,Normal,,39.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.27,1.18,Normal,,22.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.28,0.29,Normal,,3.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.02,0.02,Normal,,3.5,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.84,-0.84,Normal,,9.8,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.30,0.30,Normal,,9.8,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.05,-2.12,Normal,,12.7,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.97,Normal,,45.5,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.41,1.39,Normal,,26.6,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.79,0.73,Normal,,72.3,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.03,1.02,Normal,,9.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.95,1.98,Normal,,0.3,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.34,0.34,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.26,1.24,Normal,,103.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.37,0.37,Normal,,58.8,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.40,1.55,Normal,,97.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.52,2.55,Normal,,19.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.55,1.59,Normal,,26.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.79,0.82,Normal,,27.7,
