River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.14,4.25,Normal,,123.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.25,12.15,Normal,,38.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.89,Normal,,64.9
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.42,1.37,Normal,,79.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.13,1.07,Normal,,9.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.99,Normal,,1.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.40,1.48,Normal,,5.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.91,7.01,Normal,,61.9
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.20,5.23,Alert,Rising,14.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.36,4.57,Alert,Rising,35.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.91,4.96,Normal,,43.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.16,3.26,Normal,,102.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.50,4.48,Alert,Falling,125.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.88,1.89,Minor Flood,Rising,113.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.71,6.80,Minor Flood,Rising,99.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.12,5.29,Minor Flood,Rising,154.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,4.86,4.44,Minor Flood,Falling,78.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.89,2.74,Alert,Falling,76.4
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.10,2.16,Normal,,75.9
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.44,1.34,Normal,,25.5
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.26,2.40,Normal,,35.8
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.11,-0.11,Normal,,62.5
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.65,1.55,Normal,,89.9
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.69,Normal,,3.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.61,0.60,Normal,,41.6
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.17,0.17,Normal,,37.1
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.31,1.31,Normal,,37.1
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.82,-2.81,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.90,3.96,Normal,,18.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.69,1.64,Normal,,25.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.00,0.95,Normal,,2.4
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.16,4.07,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.71,0.71,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.02,1.02,Normal,,2.5
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.14,0.14,Normal,,1.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.16,1.16,Normal,,0.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.78,4.80,Normal,,8.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.30,4.12,Normal,,63.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.97,4.04,Alert,Rising,47.8
