River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.20,3.20,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.17,6.27,Normal,,15.5,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,15.15,15.21,Alert,Rising,22.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.55,3.39,Alert,Rising,50.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,4.19,4.30,Minor Flood,Rising,36.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.22,3.63,Normal,,62,.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.68,2.87,Alert,Rising,62,.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.68,1.72,Normal,,11.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.64,7.73,Normal,,22.6,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.60,5.65,Alert,Rising,35.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.44,3.56,Normal,,23.2,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.85,4.88,Normal,,17.4,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.08,3.08,Normal,,6.5,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.62,2.65,Normal,,17.9,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.69,1.69,Alert,,2.3,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.26,5.25,Alert,Falling,6.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.08,2.08,Normal,,9.5,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.60,1.55,Normal,,9.4,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.10,2.10,Normal,,13.7,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,4.48,4.37,Alert,Falling,23.7,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.68,2.73,Normal,,34.5,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,4.50,4.55,Normal,,22.5,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,6.36,6.48,Minor Flood,Rising,23.2,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,5.28,5.72,Alert,Rising,61,.6,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.15,4.25,Normal,,28.1,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,6.51,6.65,Major Flood,Rising,120.3,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,5.44,5.50,Minor Flood,Rising,107.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,-,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,9.14,9.53,Major Flood,Rising,81.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,4.78,5.07,Minor Flood,Rising,79.4,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,-,-,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.77,7.78,Minor Flood,Rising,46.2,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,5.73,5.74,Minor Flood,Rising,60,.6,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,8.59,8.77,Major Flood,Rising,104.6,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,6.05,6.12,Minor Flood,Rising,22.2,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.72,6.90,Minor Flood,Rising,31.1,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,7.95,8.08,Minor Flood,Rising,19.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,8.42,8.42,Major Flood,,28.1,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.12,4.16,Alert,Rising,6.0,,,
