River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at
6.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.59,2.79,Normal,,6.4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.63,11.95,Normal,,64.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.22,2.20,Normal,,14.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.28,3.00,Alert,Rising,57.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.85,Normal,,50.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.19,1.25,Normal,,7.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.37,1.37,Normal,,0.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.98,5.98,Normal,,4.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.11,2.28,Normal,,2,9.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.41,2.79,Normal,,18.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.82,4.77,Normal,,3.9,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.95,3.92,Alert,Falling,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.18,3.51,Normal,,54.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,5.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.53,5.54,Alert,Rising,2,7.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.40,3.47,Normal,,55.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.30,2.50,Alert,Rising,59.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.28,2.26,Normal,,4.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.04,7.03,Alert,Falling,18.8,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,7.36,7.36,Minor Flood,,2.8,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.18,3.15,Normal,,4.5,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.00,2.38,Normal,,2,5.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.30,2.46,Normal,,10.6,
