River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06.00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
06.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.80,3.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.10,6.10,Normal,,,27.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.52,13.31,Normal,,,25.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.10,Normal,,57,,.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.28,1.25,Normal,,,19.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.30,1.25,Normal,,55,,.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.04,1.03,Normal,,,36.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.70,2.73,Normal,,5.8,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.85,8.86,Normal,,65,,.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.12,5.08,Normal,,,21.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.08,4.13,Alert,Rising,,32.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.68,6.70,Minor Flood,Rising,,33.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.35,3.36,Normal,,8.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.15,3.04,Normal,,80.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.82,1.83,Minor Flood,Rising,80.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.95,6.91,Minor Flood,Falling,51,,.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.43,4.07,Alert,Falling,105.9,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.62,2.20,Normal,,99.4,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.15,3.15,Normal,,0.0,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.70,3.68,Normal,,,21.9,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.58,2.58,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.00,5.01,Minor Flood,Rising,,38.0,,
