River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.20,4.20,Alert,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.18,6.10,Normal,,4.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.95,11.90,Normal,,9.,,5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.03,1.96,Normal,,17.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.99,0.98,Normal,,1.4,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.27,1.31,Normal,,7,.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.85,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.68,3.68,Alert,,1.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.80,9.77,Normal,,"2.3
5.9",,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.41,4.33,Normal,,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.93,3.95,Normal,,12.9,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.93,7.92,Minor Flood,Falling,0.0,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.21,2.17,Normal,,7,.4,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.80,3.78,Alert,Falling,3.6,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.20,1.17,Normal,,1.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.43,4.30,Normal,,12.7,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.94,1.01,Normal,,14.6,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.24,0.24,Normal,,7,.7,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.92,2.91,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.60,1.58,Normal,,8,.4,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.40,4.34,Alert,Falling,3.3,,,,
