"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- SriLanka
දිනය /jpfjp / Date : 22nd December 2019 at 0900hrs",,,,,,,,,,,,,,,,,,
"ලේකම් - රාජ්‍ය ආරක්ෂක අමාතයාංශය / சேயலாளர், ச ாது நிரவ் ாக மற்றும் அனரத் ்த முகாமமத்துவ அமமேசு் / Secretary, Ministry of Defence",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாக ் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற ாதி ்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Location
s","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌව
Cth khfhzk;
Uva",1,"බදුල්ල
gJs;is
Badulla",Bandarawela,Heavy Rain,2019.12.03,,,,,,,,,,1,1,5,Yowun Senankaya
,,,,,2019.12.20,42,158,,,,1,20,,,,,,
,,,Haputhale,,2019.12.11,,,,,,,,,,1,15,50,Dambethenna Tamil V
,,,,,2019.12.20,34,157,,,,,3,,,2,19,107,"1.Pitarathmale tamil
School
2.Pitarathmale watta"
,,,Passara,,2019.12.03,,,,,,,,,,1,5,18,Sarwodaya Building
,,,,,2019.12.20,83,323,,3,,2,14,,,2,40,127,"1.Kanawarella watta
Welfair Building
2. kanawarella sarwodaya
bulding"
,,,Kandaketiya,,,1,1,,,,,1,,,,,,
,,,Welimada,,,72,320,,,,3,24,,,1,48,225,Ambewela Malin Watta
,,,Soranatota,,,26,105,,,,,8,,,,,,
,,,Haldummulle,,,25,116,,,,,4,,,1,23,109,mahakanda
,,,Haliela,,,35,118,,,,,70,,,3,29,97,"01. Moretota Singhale 02.
School Icelab tamil
college
03.moragolla Tamil School"
,,,Mahiyanganaya,,,70,281,,,,,70,,,3,64,257,"01.Bathalayaya
Community Hall 2.Ulhitya
3.Theldeniya college"
,,,Elle,,,85,322,,3,,4,51,,,1,13,53,New bird tamil School
,,,Meegahakiwula,,,1,2,,,,,1,,,,,,
,,,Badulla,,,136,520,,,,1,16,,,1,70,260,Muthiyangana Temple
,,,Ridimaliyadda,,,15,49,,,,,4,,,,,,
,,,Uva paranagama,,,20,73,,,,,11,,,,,,
,,,Lunugala,,,5,20,,,,,5,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,650,2565,0,6,0,11,302,0,0,17,327,1308,
