River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.46,4.42,Normal,,3,9.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.90,11.83,Normal,,15.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.78,Normal,,10.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.26,1.23,Normal,,65.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.92,Normal,,3,8.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.38,1.37,Normal,,3,8.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.15,2.13,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.75,7.74,Normal,,5,2.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.54,3.47,Normal,,18.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.60,2.52,Normal,,4.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.69,5.66,Alert,Falling,3.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.09,3.06,Normal,,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.25,2.24,Normal,,0.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,5.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.68,5.65,Alert,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.69,1.69,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.19,1.18,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,3.28,3.28,Alert,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.57,1.55,Normal,,6.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.25,1.25,Normal,,1.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.87,1.85,Normal,,3.4,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.59,0.58,Normal,,5.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.36,1.33,Normal,,22.1,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.63,0.62,Normal,,1.5,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.66,0.62,Normal,,24.2,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.31,-0.26,Normal,,7.8,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.83,0.88,Normal,,7.8,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.19,-2.05,Normal,,5,4.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.35,2.41,Normal,,9.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.35,1.34,Normal,,10.2,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.76,0.76,Normal,,14.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.85,4.90,Normal,,11.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.79,0.78,Normal,,4,4.8,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.27,5.36,Alert,Rising,73.9,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.38,2.27,Normal,,105.4,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.55,5.59,Alert,Rising,82.2,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.03,4.02,Normal,,15.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.02,2.95,Normal,,19.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.58,4.55,Minor Flood,Falling,14.5,,
