River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.00,4.90,Alert,Falling,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.95,7.90,Alert,Falling,1,8.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.47,14.35,Normal,,38.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,1.96,Normal,,1,4.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.88,1.75,Normal,,1,4.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.78,1.68,Normal,,21.,,6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.03,Normal,,1,3.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.58,3.59,Alert,Rising,1.2,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.92,9.92,Normal,,"4.4
10.1",,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.97,5.90,Alert,Falling,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.38,5.31,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.98,7.99,Minor Flood,Rising,1,7.6,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.74,2.69,Normal,,1,3.4,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.81,3.83,Alert,Rising,3.9,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.28,1.28,Normal,,1,5.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.24,5.24,Alert,,5.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.48,1.41,Normal,,6.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.47,0.46,Normal,,7.5,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.42,3.39,Normal,,2.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.23,2.20,Normal,,29.4,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.30,5.28,Minor Flood,Falling,2.6,,,
