River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 PM","Water
Level at
9:00 PM",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 PM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.42,5.36,Normal,,14.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.55,13.51,Normal,,16.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,3.10,2.98,Normal,,20.9,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.95,1.97,Normal,,17.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.40,2.56,Normal,,19.6,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.46,1.46,Normal,,1,0.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.56,2.56,Normal,,1,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.48,9.48,Normal,,1,1.6,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.27,6.22,Alert,Falling,1,1.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.79,2.76,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.87,5.88,Alert,Rising,20.5,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.42,2.41,Normal,,1.9,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.94,2.92,Normal,,9,.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.97,Minor Flood,Rising,1.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.84,5.80,Alert,Falling,8,.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.59,1.58,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.83,0.82,Normal,,7,.1,,
