River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.64,3.59,Normal,,3.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.52,11.39,Normal,,6.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,25.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.20,Normal,,38.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.88,0.88,Normal,,18.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.07,Normal,,11.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.32,1.34,Normal,,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.93,6.98,Normal,,66.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.64,3.60,Normal,,34.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.52,2.38,Normal,,3.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.44,4.39,Normal,,19.4,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.18,3.16,Normal,,2.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.38,2.34,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.19,2.18,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.95,5.97,Alert,Rising,5.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.33,2.28,Normal,,5.1,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.53,1.49,Normal,,19.1,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.23,1.19,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.14,2.08,Normal,,29.8,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.70,1.68,Normal,,86.8,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.25,2.20,Normal,,18.3,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.14,Normal,,0.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.16,1.14,Normal,,0.9,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.60,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.37,0.36,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.59,-0.52,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.55,0.62,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.32,-2.30,Normal,,1.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.25,Normal,,50.,0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.44,1.42,Normal,,8.9,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.75,0.80,Normal,,19.7,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.04,2.03,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.83,0.79,Normal,,38.1,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.89,0.89,Normal,,15.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.09,0.08,Normal,,6.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.02,2.02,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.95,3.87,Normal,,20.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.77,2.60,Normal,,25.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.45,2.43,Normal,,0.0,,
