දින්‍ය : 2026-06-24,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,31,26,90,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,34,27,95,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,32,27,95,80,වැසි වාර කිහිපයක්
ගාල්ල,30,27,95,85,වැසි වාර කිහිපයක්
යාපනය,33,28,95,75,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,29,23,95,75,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,31,25,95,85,වැසි වාර කිහිපයක්
ිකුණාමලය,36,26,90,55,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මන්නාරම,31,28,95,75,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
