River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9.00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.43,5.82,Normal,,78.,9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.75,15.04,Alert,Rising,106,.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.15,Normal,,7.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.37,2.90,Normal,,119,.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.34,1.29,Normal,,68.,7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.78,1.90,Alert,Rising,33.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.54,1.70,Normal,,152.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.25,8.30,Normal,,94.,9
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.58,5.83,Alert,Rising,45.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.84,2.99,Normal,,36.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.34,4.40,Normal,,28.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.68,2.82,Normal,,71.,8
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.19,3.38,Normal,,106,.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.24,1.26,Normal,,22.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.70,5.88,Alert,Rising,87.,9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.34,3.50,Normal,,38.9,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.98,4.25,Minor Flood,Rising,23.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,5.10,5.60,Minor Flood,Rising,75.,9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.12,4.10,Normal,,13.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.84,4.84,Alert,,29.6,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.76,4.90,Normal,,32.8,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,5.28,5.54,Alert,Rising,63.,0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.26,5.27,Minor Flood,Rising,39.4,
