ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -20,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,23,85,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,30,25,95,75,වැසි වාර කිහිපයක්
හකාළඹ,30,24,80,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ොල්ල,29,24,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,29,24,90,55,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
ම නුවර,27,22,95,75,වැසි වාර කිහිපයක්
නුවරඑළිය,19,14,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,32,23,95,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,29,24,90,75,වැසි වාර කිහිපයක්
මන්නාරම,29,24,80,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
