,,,"↑↑ Kundasale,
Doluwa,
Medadumbara,
↑ Udunuwara,
Deltota,
↑↑ Panvila,
Minipe,
↑ Thumpane,
Pathahewaheta,
↑↑ Pasbage Korale,
↑ Pathadumbara and
↑↑ Hatharaliyadda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Kegalle,,"↑ Deraniyagala,
↑ Dehiowita,
Warakapola,
↑ Yatiyanthota,
Kegalle,
Galigamuwa and
↑ Ruwanwella
Divisional
Secretariat
Division(s) (DSD)
and
surrounding areas.","Mawanella,
Aranayaka,
↑↑ Bulathkohupitiya and
Rambukkana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Kurunegala,,"Narammala,
Alawwa and
Polgahawela
Divisional
Secretariat
Division(s) (DSD)
and
surrounding areas.","Mawathagama,
Rideegama and
Mallawapitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Matale,,,"Matale,
Naula,
Yatawatta,
Pallepola,
Rattota,
Laggala Pallegama,
Ambanganga Korale,
Wilgamuwa and
Ukuwela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Matara,"* Hakmana,
* Mulatiyana,
*",,
