,"Matara_Four_Gravets,
* Pitabeddara,
* Kotapola,
* Kirinda_Puhulwella,
* Kamburupitiya,
* Dickwella,
* Devinuwara,
* Thihagoda,
* Welipitiya,
* Athuraliya,
* Akuressa,
Pasgoda,
* Weligama and
* Malimbada
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Monaragala,,"* Wellawaya and
* Badalkumbura
Divisional
Secretariat
Division(s) (DSD)
and
surrounding areas.","↑ Bibila
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Moneragala,,,"↑ Medagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
"Nuwara
Eliya",,,"Kotmale West,Kothmale East, Mathurata ,
Nildandahinna
Hanguranketha,
Nuwara Eliya, ↑Norwood , ↑Thalawakele
Walapane and
↑ Ambagamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Ratnapura,"Kiriella,Kaltota
Openayake,
Embilipitiya and
Weligepola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Nivithigala,
Ayagama,
Imbulpe,
Kolonna,
Balangoda,
Kahawaththa,
Ratnapura,
Elapatha and
Kalawana
Divisional
Secretariat
Division(s) (DSD)",
