"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd
mghaKs;s ,lq;fs;",,,
District,,,Level 3
,Level 1 (Yellow),Level 2 (Amber),
,,,(Red)
,,,
Colombo,,"Seethawaka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kalutara,,"Bulathsinhala,walallawita
and
Palindanuwara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kegalle,,"Dehiowita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Ratnapura,,"Kuruwita and
Eheliyagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Galle,"Alpitiya, Nagoda and Niyagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two",,,
levels down. *newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to,,,
respective areas and given weather forecast by meteorological department of Sri Lanka,,,
