දිසරික්කය,ආපදාව,ප්‍රා.ලේ.ලකා,මධයසරථානලේ නම,,පවුේ,,,පුද්ගලයින්,
,,,,,සාංඛ්‍යාව,,,සාංඛ්‍යාව,
රත්තනපුර,ගංවතුර,ඇහැලියදගාඩ,පහළගම රාහුල විදයාලය,3,,,9,,
,,ඇළපාත,ඇළපාත විදයාලය,1,,,5,,
,,,දව්රගම අලුපේදල දසරනාසනය,11,,,33,,
දකාළඹ,ගංවතුර,දකාට්දට්,විදව්කාරාම විහාරය,199,,,868,,
,,,විජයාරාම විදයාලය,,,,,,
,,,දහරවාවිතාරණ ප්‍රාථමික විදයාලය,,,,,,
,,කඩුදවල,ෆිලිෆර තිළකවර්ධ්‍න විදයාලය,24,,,100,,
,,,මුණිදාස කුමාරතුංග විදයාලය,,,,,,
,,,තුන්හඳදහරන ප්‍රාජා ශාලා 02,,,,,,
,,,මහ දදණිය පන්සල,,,,,,
,,,පහළ දබෝමිරිය විදයාලය,,,,,,
,,තිඹිරිගසරයාය,වනාතමුේල දමාදහාමේ ප්‍රාජා ශාලාව,29,,,40,,
,,සීතාවක,හංවැේල පේලිය,101,,,461,,
,,,මායාදුන්න මහ විදයාලය,,,,,,
,,,ජයවීර දගාඩ සමාධි දපරපාසල,,,,,,
