,දිසරික්කය,,,අවහිර වී ඇති මාර්ග,
"කළුතර
(බුලත්තසිංහල)",,,"දමාේකාව - බුලත්තසිංහල මාර්ගදේ පරදගාඩ ප්‍රදේශදේ මාර්ගය අඩි 05ක් පමණ
ජලදයන් යට වී ඇත.",,
"කළුතර
(බුලත්තසිංහල)",,,"දමාේකාව - බුලත්තසිංහල මාර්ගදේ යටගම්පිටිය ප්‍රදේශදේ මාර්ගය අඩි 02ක් පමණ
ජලදයන් යට වී ඇත.",,
"කළුතර
(පාලින්දනුවර)",,,"බදුරලිය - කළවාන මාර්ගදේ මිදලන ප්‍රදේශදේ මාර්ගය අඩි 02ක් පමණ ජලදයන් යට වී
ඇත.",,
"කළුතර
(පාලින්දනුවර)",,,"බදුරලිය - හැඩිගේල මාර්ගදේ ඟග ළග ප්‍රදේශදේ මාර්ගය අඩි 01 ½ක් පමණ ජලදයන්
යට වී ඇත.",,
